# Han-character frequency over the Kanripo corpus (Kanseki Repository, CC BY-SA 4.0).
# Generated by bin/sino_freq.rb on 2026-08-09 · 1.4.0
# 721813636 character tokens · 28368 distinct characters · 4571394 passages · docs = texts containing the character.
# Top 3000 rows carry Unihan kTotalStrokes/kMandarin and BabelStone IDS.
rank	char	count	docs	strokes	pinyin	ids
1083	熙	120548	2378	14	xī	⿱巸灬
1084	怨	120448	3353	9	yuàn	⿱夗心
1085	襲	120106	3017	22	xí	⿱龍衣
1086	愁	119529	2795	13	chóu	⿱秋心
1087	腹	119528	3427	13	fù	⿰月复
1088	助	119524	3670	7	zhù	⿰且力
1089	革	119509	3093	9	gé	⿱廿⿻中一
1090	險	119472	3177	15	xiǎn	⿰阝僉
1091	宻	119417	3288	10	mì	⿳宀⿻又丷山
1092	旦	119375	3712	5	dàn	⿱日一
1093	嶺	119211	2625	17	lǐng	⿱山領
1094	桑	119189	3418	10	sāng	⿱叒木
1095	翠	119079	2633	14	cuì	⿱羽卒
1096	屯	118931	2693	4	tún	⿻一𡳾
1097	招	118878	3593	8	zhāo	⿰扌召
1098	逢	118523	3507	10	féng	⿺辶夆
1099	黨	118340	2967	20	dǎng	⿱𫩠黑
1100	翁	118298	2989	10	wēng	⿱公羽
1101	額	118247	2478	18	é	⿰客頁
1102	翼	118160	3423	17	yì	⿱羽異
1103	傅	118119	3083	12	fù	⿰亻尃
1104	船	117997	2596	11	chuán	⿰舟⿱𠘧口
1105	祝	117978	3286	9	zhù	⿰礻兄
1106	竟	117887	3640	11	jìng	⿱音儿
1107	寛	117499	3128	13	kuān	⿱宀莧
1108	費	117490	3806	12	fèi	⿱弗貝
1109	曉	117210	3560	16	xiǎo	⿰日堯
1110	暮	117130	3305	14	mù	⿱莫日
1111	築	116966	2962	16	zhú	⿱筑木
1112	輿	116926	3342	17	yú	⿳⿴𦥑車一八
1113	履	116902	3742	15	lǚ	⿸尸復
1114	淵	116572	3656	12	yuān	⿰氵𣶒
1115	陶	116334	3384	10	táo	⿰阝匋
1116	鶴	116128	3156	21	hè	⿰隺鳥
1117	碧	115575	2969	14	bì	⿱珀石
1118	損	115528	3680	13	sǔn	⿰扌員
1119	桃	115425	3128	10	táo	⿰木兆
1120	壁	114872	3258	16	bì	⿱辟土
1121	振	114502	3514	10	zhèn	⿰扌辰
1122	糧	114235	2385	18	liáng	⿰米量
1123	縱	114170	3869	17	zòng	⿰糹從
1124	席	113919	3331	10	xí	⿸广⿱廿巾
1125	倉	113769	3067	10	cāng	⿱⿵𠆢丶⿸{95}口
1126	玄	113583	2022	5	xuán	⿱亠幺
1127	投	113103	3707	7	tóu	⿰扌殳
1128	紹	112950	2745	11	shào	⿰糹召
1129	違	112823	3681	12	wéi	⿺辶韋
1130	影	112522	3329	15	yǐng	⿰景彡
1131	寅	112334	3175	11	yín	⿱宀⿳一由八
1132	巖	112129	2865	22	yán	⿱山嚴
1133	錦	112024	3104	16	jǐn	⿰釒帛
1134	壯	111789	3373	7	zhuàng	⿰爿士
1135	屈	111785	3548	8	qū	⿸尸出
1136	減	111765	2882	12	jiǎn	⿰氵咸
1137	階	111726	3221	11	jiē	⿰阝皆
1138	辟	111705	3372	13	pì	⿰𡰪辛
1139	宇	111538	3514	6	yǔ	⿱宀于
1140	戊	111531	2941	5	wù	⿰丿戈
1141	判	111165	3124	7	pàn	⿰半刂
1142	徑	111116	3515	10	jìng	⿰彳巠
1143	供	111057	3440	8	gōng	⿰亻共
1144	勸	110935	3412	19	quàn	⿰雚力
1145	寡	110770	3358	14	guǎ	⿱宀𪟊
1146	盤	110607	3379	15	pán	⿱般皿
1147	逸	110359	3543	11	yì	⿺辶兔
1148	畧	110337	3027	11	lüè	⿱田各
1149	印	110260	3006	5	yìn	⿰{72}卩
1150	侵	110206	3454	9	qīn	⿰亻𠬶
1151	佛	109791	2724	7	fú	⿰亻弗
1152	憲	109691	2765	16	xiàn	⿳𫲸罒心
1153	貫	109029	3553	11	guàn	⿱毌貝
1154	吐	108934	3340	6	tǔ	⿰口土
1155	䇿	108573	2880	13		⿱𥫗束
1156	述	108433	3651	8	shù	⿺辶术
1157	賀	108425	2766	12	hè	⿱加貝
1158	庸	108249	3208	11	yōng	⿸广𬎾
1159	慈	108196	3610	13	cí	⿱兹心
1160	栁	108079	2596	9	liǔ	⿰木夘
1161	豫	107874	3063	15	yù	⿰予象
1162	毒	107873	3317	9	dú	⿱龶母
1163	勒	107837	2656	11	lēi	⿰革力
1164	稷	107508	2957	15	jì	⿰禾畟
1165	步	107391	3206	7	bù	⿱止𣥂
1166	䝉	107324	2640	13		⿱{4}豕
1167	背	107142	3806	9	bèi	⿱北⺝
1168	密	107083	2978	11	mì	⿱宓山
1169	衞	106898	2470	16	wèi	⿲彳𮧮亍
1170	渡	106724	2911	12	dù	⿰氵度
1171	占	106698	3159	5	zhàn	⿱⺊口
1172	材	106648	3128	7	cái	⿰木才
1173	諫	106606	2657	16	jiàn	⿰訁柬
1174	介	106434	3125	4	jiè	⿱𠆢⿰丿丨
1175	祐	106368	2898	9	yòu	⿰礻右
1176	壬	106270	2924	4	rén	⿱㇒士
1177	索	106191	3537	10	suǒ	⿱{44}糸
1178	童	106084	3935	12	tóng	⿱立里
1179	短	106018	3688	12	duǎn	⿰矢豆
1180	巴	105699	2379	4	bā	⿻巳丨
1181	循	105522	3431	12	xún	⿰彳盾
1182	館	105478	2987	16	guǎn	⿰飠官
1183	軒	105411	3222	10	xuān	⿰車干
1184	眼	105305	3325	11	yǎn	⿰目艮
1185	爭	105142	3380	8	zhēng	⿱爫⿻{43}亅
1186	寶	104993	2721	20	bǎo	⿱𡩧貝
1187	卜	104852	3199	2	bo bǔ	卜
1188	龜	104799	3470	17	guī	⿱㇒⿷⿹{90}{64}{65}
1189	堪	104757	3345	12	kān	⿰土甚
1190	渠	104501	2950	11	qú	⿱洰木
1191	扶	104420	3728	7	fú	⿰扌夫
1192	答	104361	3236	12	dá	⿱𥫗合
1193	麻	104274	3070	11	má	⿸广林
1194	㣲	104029	2794	14	wéi	⿲彳⿱山𠮛攵
1195	斬	103810	2883	11	zhǎn	⿰車斤
1196	佳	103805	3065	8	jiā	⿰亻圭
1197	村	103606	2471	7	cūn	⿰木寸
1198	盈	103532	3757	9	yíng	⿱夃皿
1199	盧	103514	2936	16	lú	⿸虍𰤷
1200	洗	103419	3325	9	xǐ	⿰氵先
1201	偏	103367	3644	11	piān	⿰亻扁
1202	麗	103121	3327	19	lì	⿱⿰⿱一⿵冂丶⿱一⿵冂丶鹿
1203	隋	103057	2470	11	suí	⿰阝⿱左⺝
1204	殘	103023	3404	12	cán	⿰歹戔
1205	式	102775	3093	6	shì	⿹弋工
1206	壽	102772	3273	14	shòu	⿳⿳士乛工一吋
1207	允	102676	2856	4	yǔn	⿱厶儿
1208	妄	102480	3859	6	wàng	⿱亡女
1209	孰	102400	3397	11	shú	⿰享{20}
1210	旅	102346	3110	10	lǚ	⿰方⿱𠂉{15}
1211	晚	102331	3081	11	wǎn	⿰日免
1212	巡	102187	2503	6	xún	⿺辶巛
1213	卑	102160	3418	8	bēi	⿱⿱㇒⿻日丿十
1214	洲	102160	2555	9	zhōu	⿰氵州
1215	際	102140	3848	13	jì	⿰阝祭
1216	繫	102041	3510	19	xì	⿱𣪠糸
1217	徴	101849	2703	14	zhēng	⿲彳⿱山王攵
1218	塘	101597	2278	13	táng	⿰土唐
1219	靜	101589	3651	16	jìng	⿰青爭
1220	宅	101486	3582	6	zhái	⿱宀乇
1221	配	101437	3219	10	pèi	⿰酉己
1222	𢎞	101272	2012	4		⿰弓𠃋
1223	丑	101221	2841	4	chǒu	⿻{42}丨
1224	虛	101071	3217	12	xū	⿸虍{70}
1225	歎	101070	3150	15	tàn	⿰𦰩欠
1226	毎	100971	2779	6	měi	⿱𠂉毋
1227	頃	100953	3277	11	qǐng	⿰匕頁
1228	尾	100629	3477	7	wěi	⿸尸毛
1229	冷	100609	2726	7	lěng	⿰冫令
1230	勇	100485	3053	9	yǒng	⿱甬力
1231	享	100446	3108	8	xiǎng	⿳亠口子
1232	遲	100367	3388	15	chí	⿺辶犀
1233	吟	100207	2871	7	yín	⿰口今
1234	倚	100107	3373	10	yǐ	⿰亻奇
1235	徙	100006	2759	11	xǐ	⿰彳歨
1236	審	100001	3438	15	shěn	⿱宀番
1237	蒙	99875	3385	13	méng	⿱艹冡
1238	弓	99848	3115	3	gōng	⿱{50}㇉
1239	含	99725	3738	7	hán	⿱今口
1240	頗	99556	3399	14	pō pǒ	⿰皮頁
1241	擇	99314	3369	16	zé	⿰扌睪
1242	耕	99186	3071	10	gēng	⿰耒井
1243	奪	99131	3479	14	duó	⿱奞寸
1244	爻	99019	1709	4	yáo	⿱㐅乂
1245	效	98884	3413	10	xiào	⿰交攵
1246	酉	98707	2902	7	yǒu	⿱一⿴𠁤一
1247	静	98663	2862	14	jìng	⿰青争
1248	略	98580	3348	11	lüè	⿰田各
1249	慎	98577	3108	13	shèn	⿰忄真
1250	鴻	98498	3073	17	hóng	⿰江鳥
1251	癸	98458	2844	9	guǐ	⿱癶天
1252	崔	98408	2750	11	cuī	⿱山隹
1253	煩	98254	3462	13	fán	⿰火頁
1254	豆	98075	2766	7	dòu	⿱𠮛䒑
1255	烈	97811	3211	10	liè	⿱列灬
1256	惜	97609	3431	11	xī	⿰忄昔
1257	詣	97343	2823	13	yì	⿰訁旨
1258	産	97117	3067	11	chǎn	⿸产生
1259	困	96849	3356	7	kùn	⿴囗木
1260	煙	96648	2702	13	yān	⿰火垔
1261	茂	96622	3197	8	mào	⿱艹戊
1262	馳	96421	3334	13	chí	⿰馬也
1263	彦	96312	2513	9	yàn	⿸产彡
1264	宴	96260	3109	10	yàn	⿱宀妟
1265	兆	96109	3511	6	zhào	⿻儿{11}
1266	純	95958	3507	10	chún	⿰糹屯
1267	災	95643	3178	7	zāi	⿱巛火
1268	烟	95519	2421	10	yān	⿰火因
1269	續	95497	3484	21	xù	⿰糹賣
1270	賤	95492	3493	15	jiàn	⿰貝戔
1271	歩	94821	2841	8	bù	⿱止少
1272	紛	94801	3327	10	fēn	⿰糹分
1273	壇	94671	3002	16	tán	⿰土亶
1274	苑	94660	2747	8	yuàn	⿱艹夗
1275	希	94653	3558	7	xī	⿱㐅布
1276	底	94635	3260	8	dǐ	⿸广氐
1277	了	94604	3443	2	le	⿱乛亅
1278	汗	94598	2723	6	hàn	⿰氵干
1279	雞	94525	3343	18	jī	⿰奚隹
1280	旁	94482	3335	10	páng	⿱{83}方
1281	鳳	94327	2874	14	fèng	⿵𠘨𩾏
1282	賓	94312	2512	14	bīn	⿱⿳宀一𣥂貝
1283	咎	94204	3019	8	jiù	⿱处口
1284	契	94189	3537	9	qì	⿱㓞大
1285	舒	94081	3319	12	shū	⿰舍予
1286	歳	93963	2614	13	suì	⿱止⿵戌小
1287	暴	93729	3271	15	bào	⿱日㳟
1288	哭	93719	2830	10	kū	⿱吅犬
1289	旋	93599	3759	11	xuán	⿰方𭻾
1290	頌	93202	2970	13	sòng	⿰公頁
1291	倫	93122	3254	10	lún	⿰亻侖
1292	忍	93063	3345	7	rěn	⿱刃心
1293	鹿	93047	3180	11	lù	⿸{55}比
1294	飾	92995	3114	13	shì	⿰飠⿱𠂉巾
1295	贊	92878	2543	19	zàn	⿱兟貝
1296	鳯	92855	2677	13	fèng	⿵𠘨鳥
1297	樞	92789	3051	15	shū	⿰木區
1298	䕶	92501	2548	21	hù	⿱艹謢
1299	環	92465	3538	17	huán	⿰𤣩睘
1300	緑	92403	2759	14	lǜ	⿰糹录
1301	徵	92401	2613	15	zhǐ zhēng	⿰彳𢽠
1302	傾	92342	3680	13	qīng	⿰亻頃
1303	禪	92256	2938	16	chán	⿰礻單
1304	寵	92176	2905	19	chǒng	⿱宀龍
1305	綱	92143	3238	14	gāng	⿰糹岡
1306	側	92022	3403	11	cè	⿰亻則
1307	肆	91892	3149	13	sì	⿰镸聿
1308	速	91851	3619	10	sù	⿺辶束
1309	導	91825	3265	15	dǎo	⿱道寸
1310	津	91768	3367	9	jīn	⿰氵聿
1311	啓	91415	3288	11	qǐ	⿱𢼄口
1312	亥	91408	2964	6	hài	⿱丶𠀔
1313	操	91398	3154	16	cāo	⿰扌喿
1314	恨	91271	3058	9	hèn	⿰忄艮
1315	岸	91262	2960	8	àn	⿱山厈
1316	脩	91234	2830	10	xiū	⿲亻丨⿱夂⺝
1317	旣	91086	2160	11	jì	⿰皀旡
1318	戸	90662	2648	4	hù	⿱一尸
1319	規	90394	3236	11	guī	⿰夫見
1320	偶	90364	3557	11	ǒu	⿰亻禺
1321	證	89910	3315	19	zhèng	⿰訁登
1322	揮	89806	2923	12	huī	⿰扌軍
1323	訪	89629	3070	11	fǎng	⿰訁方
1324	榖	89564	2720	14	gǔ	⿰⿱⿳士冖一木殳
1325	杖	89516	3021	7	zhàng	⿰木丈
1326	瑞	89349	3062	13	ruì	⿰𤣩耑
1327	圓	89237	3576	13	yuán	⿴囗員
1328	署	89179	2177	13	shǔ	⿱罒者
1329	琴	89033	2879	12	qín	⿱玨今
1330	決	89022	2590	7	jué	⿰氵夬
1331	區	88984	3065	11	qū	⿷匚品
1332	縁	88956	3559	15	yuán	⿰糹⿱{42}𧰨
1333	奴	88841	2771	5	nú	⿰女又
1334	限	88802	3333	8	xiàn	⿰阝艮
1335	諱	88636	2922	16	huì	⿰訁韋
1336	彭	88488	2965	12	péng	⿰壴彡
1337	塗	88473	3390	13	tú	⿱涂土
1338	淳	88368	3072	11	chún	⿰氵享
1339	抱	88272	3644	8	bào	⿰扌包
1340	尸	88144	3057	3	shī	⿰丿{50}
1341	浙	88134	2205	10	zhè	⿰氵折
1342	昏	88079	3578	8	hūn	⿱氏日
1343	懸	88005	3361	20	xuán	⿱縣心
1344	鐘	87805	2845	20	zhōng	⿰釒童
1345	恒	87788	2896	9	héng	⿰忄亘
1346	蒲	87641	2908	13	pú	⿱艹浦
1347	檢	87298	3077	17	jiǎn	⿰木僉
1348	屢	87250	3049	14	lǚ	⿸尸婁
1349	銅	87135	2937	14	tóng	⿰釒同
1350	優	87036	3090	17	yōu	⿰亻憂
1351	項	87012	2861	12	xiàng	⿰工頁
1352	韋	86946	2698	9	wéi	⿱𭇁㐄
1353	毫	86876	3367	11	háo	⿱{87}毛
1354	酌	86610	3026	10	zhuó	⿰酉勺
1355	借	86486	3340	10	jiè	⿰亻昔
1356	弊	86486	2852	14	bì	⿱敝廾
1357	係	86392	2942	9	xì	⿰亻系
1358	錄	86238	2565	16	lù	⿰釒彔
1359	岳	85780	2746	8	yuè	⿱丘山
1360	戴	85699	3307	17	dài	⿹𢦏異
1361	旌	85552	2792	11	jīng	⿰方⿱𠂉生
1362	該	85528	2289	13	gāi	⿰訁亥
1363	戌	85482	2656	6	xū	⿵戊一
1364	單	85319	3164	12	dān	⿱吅⿻甲一
1365	獸	85260	3455	19	shòu	⿰嘼犬
1366	隔	85206	3402	12	gé	⿰阝鬲
1367	遠	85111	2730	13	yuǎn	⿺辶袁
1368	歡	85079	3275	21	huān	⿰雚欠
1369	淺	85068	3657	11	qiǎn	⿰氵戔
1370	晝	85041	3659	11	zhòu	⿱書一
1371	㸃	84867	2656	17	diǎn	⿱⿰{68}占灬
1372	忌	84673	3382	7	jì	⿱己心
1373	談	84517	3272	15	tán	⿰訁炎
1374	黒	84403	2847	11	hēi	⿱里灬
1375	遵	84362	3001	15	zūn	⿺辶尊
1376	泥	83983	3660	8	ní	⿰氵尼
1377	齒	83889	3513	15	chǐ	⿱止𠚕
1378	厲	83733	2995	14	lì	⿸厂萬
1379	鮮	83538	3441	17	xiān	⿰魚羊
1380	茶	83510	2365	9	chá	⿳艹𠆢朩
1381	貌	83390	3143	14	mào	⿰豸皃
1382	預	83308	3155	13	yù	⿰予頁
1383	詠	83248	2976	12	yǒng	⿰訁永
1384	躬	83090	3019	10	gōng	⿰身弓
1385	煎	83089	2024	13	jiān	⿱前灬
1386	葛	82941	3185	12	gé	⿱艹曷
1387	趨	82770	3141	17	qū	⿺走芻
1388	覽	82704	3053	21	lǎn	⿱𰯲見
1389	禦	82388	2834	17	yù	⿱御示
1390	謙	82289	2892	17	qiān	⿰訁兼
1391	黃	82262	2251	12	huáng	⿱廿⿳一由八
1392	繁	81944	3376	17	fán	⿱敏糸
1393	讓	81890	2762	24	ràng	⿰訁襄
1394	勉	81659	3008	9	miǎn	⿺免力
1395	肯	81124	3256	8	kěn	⿱止⺝
1396	嗟	81024	3030	12	jiē	⿰口差
1397	刀	80912	3410	2	dāo	⿹𠃌丿
1398	峯	80646	2316	10	fēng	⿱山夆
1399	矢	80565	2807	5	shǐ	⿱𠂉大
1400	盜	80514	2781	12	dào	⿱㳄皿
1401	輪	80489	3679	15	lún	⿰車侖
1402	擬	80365	3132	17	nǐ	⿰扌疑
1403	㡬	80251	2335	12		⿹{29}⿰丿𠃌
1404	援	80188	2894	12	yuán	⿰扌爰
1405	珍	80062	3118	9	zhēn	⿰𤣩㐱
1406	卧	79925	3128	8	wò	⿰臣卜
1407	遥	79784	3006	13	yáo	⿺辶䍃
1408	想	79753	3405	13	xiǎng	⿱相心
1409	謁	79525	3009	16	yè	⿰訁曷
1410	抵	79521	3176	8	dǐ	⿰扌氐
1411	蕩	79258	3615	15	dàng	⿱艹湯
1412	穴	79243	3170	5	xué	⿱宀八
1413	亮	79202	2500	9	liàng	⿱{87}几
1414	帛	79165	3084	8	bó	⿱白巾
1415	住	78954	3271	7	zhù	⿰亻主
1416	帖	78772	2134	8	tiē	⿰巾占
1417	柱	78624	3134	9	zhù	⿰木主
1418	閉	78605	3721	11	bì	⿵門才
1419	抑	78464	3290	7	yì	⿰扌卬
1420	迹	78440	3336	9	jì	⿺辶亦
1421	增	78278	2945	15	zēng	⿰土曾
1422	潤	78206	3462	15	rùn	⿰氵閏
1423	靡	78204	3136	19	mí	⿸麻非
1424	寂	78096	3249	11	jì	⿱宀叔
1425	麥	77746	2639	11	mài	⿱來夊
1426	慕	77577	3248	14	mù	⿱莫⺗
1427	牙	77558	3261	4	yá	⿹⿻丁𠃋㇒
1428	亨	77538	2445	7	hēng	⿳亠口了
1429	董	77386	2759	12	dǒng	⿱艹重
1430	禽	77322	3287	12	qín	⿱𠆢离
1431	粟	76996	2951	12	sù	⿱覀米
1432	驅	76935	3404	21	qū	⿰馬區
1433	荷	76804	2945	10	hé	⿱艹何
1434	超	76785	3427	12	chāo	⿺走召
1435	駐	76774	2270	15	zhù	⿰馬主
1436	悔	76747	3218	10	huǐ	⿰忄每
1437	燈	76681	2718	16	dēng	⿰火登
1438	穀	76500	2836	15	gǔ	⿰𥞤殳
1439	彌	76437	3355	17	mí	⿰弓爾
1440	晴	76433	2251	12	qíng	⿰日青
1441	誦	76433	3469	14	sòng	⿰訁甬
1442	妃	76288	2688	6	fēi	⿰女己
1443	跡	76187	3315	13	jī	⿰𧾷亦
1444	凝	76181	3600	16	níng	⿰冫疑
1445	豪	76173	2812	14	háo	⿱{87}豕
1446	寢	76113	3066	14	qǐn	⿱宀𭷆
1447	旱	75935	2801	7	hàn	⿱日干
1448	𫝊	75931	1304	11		⿰亻専
1449	馮	75845	2748	12	féng	⿰冫馬
1450	浩	75748	3095	10	hào	⿰氵告
1451	罰	75733	2829	14	fá	⿱罒䚯
1452	遼	75694	2382	15	liáo	⿺辶尞
1453	坎	75555	2662	7	kǎn	⿰土欠
1454	逹	75527	2671	11	dá	⿺辶幸
1455	匹	75403	2809	4	pǐ	⿷匚儿
1456	脉	75300	2408	9	mài	⿰月永
1457	奠	75209	2324	12	diàn	⿱酋大
1458	鐵	75144	2968	21	tiě	⿰釒𢧜
1459	把	75001	3062	7	bǎ	⿰扌巴
1460	宮	74955	2248	10	gōng	⿱宀呂
1461	瞻	74849	3155	18	zhān	⿰目詹
1462	缺	74824	3321	10	quē	⿰缶夬
1463	俟	74754	3065	9	qí	⿰亻矣
1464	戚	74747	2935	11	qī	⿵戊尗
1465	蠻	74612	2666	25	mán	⿱䜌虫
1466	緩	74579	3103	15	huǎn	⿰糹爰
1467	醫	74442	2936	18	yī	⿱殹酉
1468	簿	74433	2577	19	bù	⿱𥫗溥
1469	浦	74361	2296	10	pǔ	⿰氵甫
1470	裁	74357	2946	12	cái	⿹𢦏衣
1471	倍	74323	3241	10	bèi	⿰亻咅
1472	藝	74271	3021	18	yì	⿱蓺云
1473	融	74121	3201	16	róng	⿰鬲虫
1474	憐	74077	2702	15	lián	⿰忄粦
1475	叛	74064	2358	9	pàn	⿰半反
1476	啟	73757	2507	11	qǐ	⿰启攵
1477	蕃	73750	2613	15	bō fān	⿱艹番
1478	敏	73700	2709	11	mǐn	⿰每攵
1479	厭	73614	3408	14	yàn	⿸厂猒
1480	屏	73556	3082	9	píng	⿸尸并
1481	植	73491	3168	12	zhí	⿰木直
1482	毋	73455	2845	4	wú	毋
1483	釐	73438	2534	18	xī lí	⿸𠩺里
1484	錯	73372	3538	16	cuò	⿰釒昔
1485	束	73226	3340	7	shù	⿻木口
1486	𨽻	73190	1976	15	lì	⿰𥘈隶
1487	浪	73134	2986	10	làng	⿰氵良
1488	採	73106	3302	11	cǎi	⿰扌采
1489	頓	73046	3343	13	dùn	⿰屯頁
1490	蟲	73039	3173	18	chóng	⿱虫䖵
1491	霞	73002	2668	17	xiá	⿱雨叚
1492	策	72956	2842	12	cè	⿱𥫗朿
1493	俾	72897	2765	10	bǐ bì	⿰亻卑
1494	買	72859	2718	12	mǎi	⿱罒貝
1495	查	72796	1310	9	chá	⿱木旦
1496	擢	72730	2181	17	zhuó	⿰扌翟
1497	惑	72624	3449	12	huò	⿱或心
1498	沉	72576	3190	7	chén	⿰氵冗
1499	膏	72400	2919	14	gāo	⿳{87}口⺝
1500	薛	72322	2474	16	xuē	⿱艹⿰𠂤辛
1501	那	72168	2684	6	nà	⿰𭃂阝
1502	渾	72164	3156	12	hún	⿰氵軍
1503	舎	72091	2377	8	shè	⿱𠆢𠮷
1504	寜	71859	2314	13	níng	⿱寍亅
1505	辱	71731	3142	10	rǔ	⿱辰寸
1506	慰	71385	2524	15	wèi	⿱尉心
1507	从	70902	394	4	cóng	⿰人人
1508	付	70716	3297	5	fù	⿰亻寸
1509	憶	70703	2351	16	yì	⿰忄意
1510	眀	70693	1792	9	míng	⿰目月
1511	姦	70630	2586	9	jiān	⿱女奻
1512	毁	70612	3020	13	huǐ	⿰𬛸殳
1513	泣	70587	2991	8	qì	⿰氵立
1514	衍	70585	2894	9	yǎn	⿲彳氵亍
1515	巨	70405	3259	4	jù	⿷匚{50}
1516	台	70387	2726	5	tái	⿱厶口
1517	疎	70380	2723	12	shū	⿰𤴔束
1518	茅	70355	3074	8	máo	⿱艹矛
1519	凉	70265	2520	10	liáng	⿰冫京
1520	藩	70241	2536	18	fān	⿱艹潘
1521	潛	70213	2709	15	qián	⿰氵朁
1522	貪	69966	3463	11	tān	⿱今貝
1523	徽	69842	2528	17	huī	⿰彳𢾰
1524	基	69596	3274	11	jī	⿱其土
1525	製	69469	2633	14	zhì	⿱制衣
1526	茍	69137	2128	9	jì	⿱卝句
1527	邉	69014	2082	17	biān	⿺辶⿳自穴口
1528	暑	68971	3313	12	shǔ	⿱日者
1529	域	68955	3213	11	yù	⿰土或
1530	紙	68898	2759	10	zhǐ	⿰糹氏
1531	停	68609	3237	11	tíng	⿰亻亭
1532	狂	68606	3285	7	kuáng	⿰犭王
1533	貨	68563	2808	11	huò	⿱化貝
1534	悟	68455	3677	10	wù	⿰忄吾
1535	畜	68373	2862	10	chù	⿱玄田
1536	逃	68347	3069	9	táo	⿺辶兆
1537	魂	68334	3405	13	hún	⿰云鬼
1538	牲	68305	2114	9	shēng	⿰牜生
1539	峰	68180	2063	10	fēng	⿰山夆
1540	决	68142	2905	6	jué	⿰冫夬
1541	濕	68102	2847	17	shī	⿰氵㬎
1542	朋	68076	3020	8	péng	⿰月月
1543	炎	67912	3314	8	yán	⿱火火
1544	巧	67837	3342	5	qiǎo	⿰工丂
1545	輒	67810	2789	14	zhé	⿰車𦔮
1546	澄	67777	3204	15	chéng	⿰氵登
1547	拾	67766	2838	9	shí	⿰扌合
1548	焚	67750	3393	12	fén	⿱林火
1549	赦	67734	2452	11	shè	⿰赤攵
1550	䘮	67698	2301	12	sāng	⿱⿻土从{25}
1551	燒	67641	3156	16	shāo	⿰火堯
1552	倒	67575	3553	10	dào	⿰亻到
1553	研	67529	2535	9	yán	⿰石开
1554	俊	67442	2587	9	jùn	⿰亻夋
1555	衝	67352	2927	15	chōng	⿲彳重亍
1556	聴	67341	2299	17	tīng	⿰耳⿳十罒心
1557	黎	67319	2851	15	lí	⿱𥝢𱥯
1558	掩	67256	3251	11	yǎn	⿰扌奄
1559	勲	67189	2481	15	xūn	⿱動灬
1560	諡	67112	1664	16	shì	⿰訁㿽
1561	妾	67092	2658	8	qiè	⿱立女
1562	普	66997	3015	12	pǔ	⿱並日
1563	聘	66895	2383	13	pìn	⿰耳甹
1564	斜	66873	2504	11	xié	⿰余斗
1565	鏡	66856	2854	19	jìng	⿰釒竟
1566	冊	66758	2083	5	cè	⿻冂卄
1567	怪	66719	3346	8	guài	⿰忄圣
1568	袁	66624	2318	10	yuán	⿱𠮷𧘇
1569	徹	66572	3517	15	chè	⿰彳𰕎
1570	冀	66518	2806	16	jì	⿱北異
1571	敦	66499	2730	12	dūn	⿰享攵
1572	踰	66242	2940	16	yú	⿰𧾷俞
1573	激	66008	3117	16	jī	⿰氵敫
1574	叅	65958	2246	12	cān	⿱厽𠇍
1575	完	65880	2975	7	wán	⿱宀元
1576	攝	65688	3322	21	shè	⿰扌聶
1577	柳	65653	2382	9	liǔ	⿰木卯
1578	零	65644	2723	13	líng	⿱雨令
1579	寫	65640	3105	15	xiě	⿱宀舄
1580	湘	65612	2258	12	xiāng	⿰氵相
1581	辦	65557	2194	16	bàn	⿲辛力辛
1582	藻	65326	2534	19	zǎo	⿱艹澡
1583	偽	65304	2586	11	wěi	⿰亻為
1584	溝	65254	2638	13	gōu	⿰氵冓
1585	距	65234	2299	11	jù	⿰𧾷巨
1586	髪	65227	2807	14	fà fǎ	⿱髟友
1587	晨	65219	3228	11	chén	⿱日辰
1588	託	64907	3179	10	tuō	⿰訁乇
1589	狄	64893	2300	7	dí	⿰犭火
1590	座	64856	2754	10	zuò	⿸广坐
1591	包	64842	3349	5	bāo	⿹勹巳
1592	驛	64821	2388	23	yì	⿰馬睪
1593	蓬	64726	2837	13	péng	⿱艹逢
1594	姚	64688	2402	9	yáo	⿰女兆
1595	桐	64535	2643	10	tóng	⿰木同
1596	漏	64403	3441	14	lòu	⿰氵屚
1597	練	64272	2744	15	liàn	⿰糹柬
1598	晏	64174	2824	10	yàn	⿱日安
1599	績	64148	2525	17	jī	⿰糹責
1600	争	64139	2593	6	zhēng	⿱⺈⿻{43}亅
1601	奮	64107	2760	16	fèn	⿱奞田
1602	漁	64085	2712	14	yú	⿰氵魚
1603	疆	64056	2730	19	jiāng	⿰⿹弓土畺
1604	戍	63937	2345	6	shù	⿵戊丶
1605	巢	63836	2919	11	cháo	⿱巛果
1606	哈	63829	662	9	hā	⿰口合
1607	歟	63827	2969	17	yú	⿰與欠
1608	匪	63820	2639	10	fěi	⿷匚非
1609	鄰	63748	2975	14	lín	⿰粦阝
1610	漫	63682	2864	14	màn	⿰氵曼
1611	嗚	63658	2671	13	wū	⿰口烏
1612	暗	63634	3242	13	àn	⿰日音
1613	卯	63439	2679	5	mǎo	⿰𠂎卩
1614	麟	63400	2814	23	lín	⿰鹿粦
1615	暇	63375	3081	13	xiá	⿰日叚
1616	胥	63322	2719	9	xū	⿱疋⺝
1617	協	63292	2479	8	xié	⿰十劦
