# Han-character frequency over the Kanripo corpus (Kanseki Repository, CC BY-SA 4.0).
# Generated by bin/sino_freq.rb on 2026-08-09 · 1.4.0
# 721813636 character tokens · 28368 distinct characters · 4571394 passages · docs = texts containing the character.
# Top 3000 rows carry Unihan kTotalStrokes/kMandarin and BabelStone IDS.
rank	char	count	docs	strokes	pinyin	ids
339	致	436735	4462	10	zhì	⿰至攵
340	獨	436044	4318	16	dú	⿰犭蜀
341	還	435795	4442	16	hái	⿺辶睘
342	錢	434908	3379	16	qián	⿰釒戔
343	近	434546	4307	7	jìn	⿺辶斤
344	信	432895	4533	9	xìn	⿰亻言
345	卷	431277	3945	8	juǎn	⿱龹㔾
346	卒	430575	3706	8	zú	⿱𠅃十
347	衣	429592	4355	6	yī	⿱亠𧘇
348	更	427553	4479	7	gèng	⿱一{19}
349	伯	426899	3863	7	bó	⿰亻白
350	寒	426216	4223	12	hán	⿱𡨄⺀
351	京	421938	3808	8	jīng	⿱亠𱒃
352	嘗	419997	3901	14	cháng	⿱𫩠旨
353	封	419912	3866	9	fēng	⿰圭寸
354	母	419823	4417	5	mǔ	母
355	好	419051	4414	6	hǎo	⿰女子
356	詔	415773	3262	12	zhào	⿰訁召
357	議	414596	3682	20	yì	⿰訁義
358	象	411477	4279	11	xiàng	⿻𠮥𧰨
359	鄭	410366	3389	14	zhèng	⿰奠阝
360	土	410115	4500	3	tǔ	⿱十一
361	説	409618	3316	14	shuō	⿰訁兑
362	修	408728	4618	9	xiū	⿲亻丨⿱夂彡
363	由	407959	4483	5	yóu	⿻日丨
364	第	407663	4264	11	dì	⿱𥫗𢎨
365	哉	406381	4161	9	zāi	⿹𢦏口
366	辭	406031	3958	19	cí	⿰𤔔辛
367	賦	405948	3497	15	fù	⿰貝武
368	陵	404429	3864	10	líng	⿰阝夌
369	侍	403576	3830	8	shì	⿰亻寺
370	變	402763	4579	23	biàn	⿱䜌攵
371	圖	402604	4191	14	tú	⿴囗啚
372	原	401714	4129	10	yuán	⿸厂⿱白小
373	固	400412	4385	8	gù	⿴囗古
374	動	399174	4562	11	dòng	⿰重力
375	德	398793	3867	15	dé	⿰彳𢛳
376	楚	394827	3444	13	chǔ	⿱林疋
377	極	394581	4748	12	jí	⿰木亟
378	情	394035	4293	11	qíng	⿰忄青
379	卿	393536	3690	10	qīng	⿰𠂎即
380	臨	393089	4355	17	lín	⿰臣⿱𠂉品
381	别	392455	4331	7	bié	⿰另刂
382	敢	392211	4229	11	gǎn	⿰⿱乛耳攵
383	空	389325	4558	8	kōng	⿱穴工
384	口	387364	4562	3	kǒu	口
385	秦	387242	3615	10	qín	⿱𡗗禾
386	車	381613	4127	7	chē	⿻亘丨
387	改	381078	3876	7	gǎi	⿰己攵
388	益	380966	4349	10	yì	⿳䒑八皿
389	體	378795	4590	22	tǐ	⿰骨豊
390	弟	376952	3952	7	dì	⿱丷𢎨
391	祭	376602	3380	11	jì	⿱{21}示
392	堂	375138	4167	11	táng	⿱𫩠土
393	靈	375041	4761	24	líng	⿱霝巫
394	宣	372787	4054	9	xuān	⿱宀亘
395	殺	370892	4059	10	shā	⿰杀殳
396	火	370269	4660	4	huǒ	火
397	吏	370229	3511	6	lì	⿻一史
398	廟	369400	3544	15	miào	⿸广朝
399	便	368847	4356	9	biàn	⿰亻更
400	教	366231	4313	11	jiào	⿰孝攵
401	頭	365072	4149	16	tóu	⿰豆頁
402	半	364995	4089	5	bàn	⿻丷𰀁
403	孝	363772	3764	7	xiào	⿱耂子
404	許	362390	3986	11	xǔ	⿰訁午
405	飛	360967	4464	9	fēi	⿻𠃧⿰⿱㇒丿丨
406	往	359369	3938	8	wǎng	⿰彳主
407	著	357563	4475	11	zhù zhe	⿱艹者
408	孔	357451	3832	4	kǒng	⿰子乚
409	客	357426	3738	9	kè	⿱宀各
410	代	355227	4136	5	dài	⿰亻弋
411	永	355107	4309	5	yǒng	〾⿱丶水
412	勝	354153	4230	12	shèng	⿰月劵
413	梁	353292	3835	11	liáng	⿱𱥻木
414	病	352411	4232	10	bìng	⿸疒丙
415	乾	349135	4393	11	qián gān	⿰𠦝乞
416	川	348826	3942	3	chuān	⿲丿丨丨
417	香	348418	3987	9	xiāng	⿱禾日
418	對	347369	4368	14	duì	⿰⿱业𦍌寸
419	載	346325	4355	13	zài	⿹𢦏車
420	魏	345285	3364	17	wèi	⿰委鬼
421	引	344050	4380	4	yǐn	⿰弓丨
422	景	343631	4255	12	jǐng	⿱日京
423	尊	343528	4429	12	zūn	⿱酋寸
424	罪	342764	3877	13	zuì	⿱罒非
425	降	342400	4434	8	jiàng	⿰阝夅
426	全	341803	4489	6	quán	⿱𠆢王
427	貴	341312	4304	12	guì	⿱𠀐貝
428	亂	341212	4224	13	luàn	⿰𤔔乚
429	按	340091	3835	9	àn	⿰扌安
430	星	339266	4319	9	xīng	⿱日生
431	並	337975	4331	8	bìng	⿱䒑业
432	坐	337073	4302	7	zuò	⿻从土
433	目	337029	4583	5	mù	⿴囗𠄠
434	嵗	335775	3187	12	suì	⿱山⿵戌𣥂
435	賜	335067	3656	15	cì	⿰貝易
436	忠	334710	3707	8	zhōng	⿱中心
437	省	333479	3729	9	shěng	⿱少目
438	真	332981	3858	10	zhēn	⿱十具
439	朱	331423	4299	6	zhū	⿰㇒未
440	交	330300	4456	6	jiāo	⿱亠父
441	絶	329911	4422	12	jué	⿰糹色
442	甲	328899	4256	5	jiǎ	⿻日丨
443	遣	328652	3516	13	qiǎn	⿺辶𠳋
444	形	328266	4727	7	xíng	⿰开彡
445	趙	326765	3404	14	zhào	⿺走肖
446	向	325798	4499	6	xiàng	⿱㇒冋
447	仲	325694	3684	6	zhòng	⿰亻中
448	兮	325466	2699	4	xī	⿱八丂
449	執	324453	4164	11	zhí	⿰幸{20}
450	賊	323721	3468	13	zéi	⿰貝戎
451	惡	323529	4362	12	è	⿱亞心
452	說	323255	3985	14	shuō	⿰訁兌
453	歌	322528	3864	14	gē	⿰哥欠
454	解	320839	4560	13	jiě	⿰角𭷔
455	散	320632	4524	12	sàn	⿰⿱龷⺝攵
456	承	320600	4142	8	chéng	⿻氶三
457	拜	320210	3838	9	bài	⿰⿱㇒⿻二丿⿻干二
458	容	319673	4347	10	róng	⿱宀谷
459	考	316358	4070	6	kǎo	⿱耂丂
460	韻	316149	2839	19	yùn	⿰音員
461	精	315780	4829	14	jīng	⿰米青
462	室	314931	4356	9	shì	⿱宀至
463	盛	313910	4247	11	shèng	⿱成皿
464	存	313154	4691	6	cún	⿸{57}子
465	后	312581	3381	6	hòu	⿸𠂋口
466	嘉	312408	3615	14	jiā	⿱壴加
467	高	312386	3572	10	gāo	⿳亠口冋
468	表	311909	4108	8	biǎo	⿱龶𧘇
469	性	311892	4277	8	xìng	⿰忄生
470	手	311679	4363	4	shǒu	⿱㇒⿻二亅
471	順	311119	4090	12	shùn	⿰川頁
472	妻	309852	3378	8	qī	⿱⿻⿱一{43}丨女
473	留	308801	4076	10	liú	⿱⿰{58}刀田
474	鄉	307080	3508	11	xiāng	⿰乡郎
475	送	306783	3689	9	sòng	⿺辶关
476	共	306410	4301	6	gòng	⿱龷八
477	告	306260	3987	7	gào	⿱𠂒口
478	儀	305694	4033	15	yí	⿰亻義
479	濟	302697	4216	17	jì	⿰氵齊
480	落	302486	4172	12	luò	⿱艹洛
481	吉	301691	3954	6	jí	⿱士口
482	楊	301195	3517	13	yáng	⿰木昜
483	似	300722	4137	6	sì	⿰亻以
484	才	300354	3906	3	cái	⿹𬺰㇒
485	視	300089	4330	11	shì	⿰礻見
486	備	298851	4235	12	bèi	⿰亻𤰇
