# Sumerogram + determinative frequency in OB Akkadian — CDLI, Old Babylonian slice
# Generated by bin/akk_seq.rb on 2026-08-05 · 1.4.0
# OB slice: nabu lect list (akk:ob rulings, 30157 CDLI documents) ∩ nabu export --lang=akk --source=cdli
# Passages: 204820 · raw ATF spellings, never folded (sz/s,/t,); a separate base — never mixed with sux ranks (§9).
# Sumerograms upcased for display ({d} rows are determinatives); ATF dots kept (KU3.BABBAR).
rank	form	count
361	IB2-TA-E3	50
362	KU3-DIM2	50
363	SA-TU	50
364	UNU{KI}	50
365	A-ZU	49
366	GANBA	49
367	GI	49
368	I3-DU8	49
369	I3-MAH-A	49
370	SAG10	49
371	SZUM2{SAR}	49
372	BALA	48
373	GAL-GAL	48
374	SZE-KIN-KU5	48
375	USU	48
376	A-BA	47
377	E2-MES-LAM	47
378	KI-TA	47
379	MA2-I3-DUB	47
380	{NA4}KINKIN	47
381	BABILA2{KI}	46
382	DINGIR-MESZ	46
383	GABA	46
384	IB2-TAK4	46
385	KIN	46
386	SIKI-BA	46
387	SZE-I3-GESZ	46
388	GESZ-NU2	45
389	ME	45
390	NU-MU-UN-DA-BALA-E	45
391	SAG-GESZ-RA	45
392	SZU-GI-NA	45
393	{D}UTU-MESZ	45
394	{GESZ}GIGIR	45
395	GAR-RA	44
396	I3-DUB	44
397	SZE-TA	44
398	{D}EN-KI-GA-TA	44
399	{sar}	44
400	LA2-U	43
401	SZABRA	43
402	{URUDA}SZEN	43
403	LU2-KUR2	42
404	SA2-SAG	42
405	E2-ASZGAB	41
406	E2-E-KE4	41
407	SZU-SZI	41
408	ARAD-ZU	40
409	DU11-GA	40
410	GURU7	40
411	I3-DU10	40
412	KAL-GA	40
413	LU2-SZE-SAG11-KU5	40
414	{D}MARDUK-KE4	40
415	{URUDA}KI-LUGAL-GUB-BA	40
416	{na4}	40
417	AM-MI-S,A-DU-QA2	39
418	GAN-GAN-E3-A	39
419	LAL3	39
420	LU2-AZLAG2	39
421	MA-DA	39
422	MUHALDIM	39
423	NU	39
424	SZUM2	39
425	{gi}	39
426	GESZBUN	38
427	KA2-DINGIR-RA{KI}	38
428	NU-ME-A-AK	38
429	SU-AM3	38
430	{mi2}	38
431	BA-USZ2	37
432	DU10-GA	37
433	GALA	37
434	HE2-GAL2	37
435	KANKAL	37
436	SUMUN	37
437	USZ	37
438	ZI3-DA-TA-AM3	37
439	{D}ISZKUR-LU2-TIL	37
440	{NA4}KISZIB	37
441	ASZGAB	36
442	E2-DUB-BA	36
443	GUB	36
444	HUN-GA2-MESZ	36
445	IN-SZI-SA10-MESZ	36
446	ASZ-ME	35
447	BA-AN-TI-ESZ	35
448	DAH	35
449	DIDLI-A	35
450	GU2-GAL	35
451	GU4-APIN	35
452	NIN	35
453	SZA3-GU4	35
454	A-NA	34
455	BA-GUL	34
456	LUGAL-LA	34
457	NU-GA2-GA2	34
458	{uruda}	34
459	BA-NI-IB-GI4-GI4	33
460	BABBAR	33
461	BALA-RI	33
462	GA2-NUN	33
463	I3-LA2-E-MESZ	33
464	KISZIB-A-NI	33
465	MAH-A	33
466	NU-ME-EN	33
467	NU-{GESZ}KIRI6-MESZ	33
468	SISKUR2	33
469	SZE-BI	33
470	{D}ISZKUR-RA	33
471	{GESZ}GAN-NA	33
472	AN-TA	32
473	ERIN2-HI-A	32
474	ESIR	32
475	IB2-DIRI-GA	32
476	IGI-SA2	32
477	INIM-GAR-RA	32
478	MAR-TU-MESZ	32
479	SAG-DU-GA-NI-IM	32
480	SAG-IR3	32
481	SZAMAN2-LA2	32
482	SZE-E	32
483	UR-MAH	32
484	{D}HILIB	32
485	NITA	31
486	NU-GIG	31
487	SZE-TA-AM3	31
488	ZAG	31
489	BI2-IN-DU3-A	30
