Z108	3
H100	3
D219	3
U46	3
G235	3
A17S	3
E186	3
M75	3
C20	3
I31	3
N76	3
G7C	3
V18	3
O400	3
U13A	3
U23A	3
W88	3
W214	3
R33	3
A45	3
D253	3
A25A	3
S118	3
R47	3
G225A	3
W72	3
T60	3
R1D	3
W73	3
M31A	3
F11	3
D405	3
W27B	3
A92	3
F84	3
U14	3
B21	3
D188	3
O41	3
O20	3
C164	3
D8	3
P2E	3
Z110	3
O32B	3
V36A	3
E199	3
W61	3
G13	3
Y7	3
F134	3
W28	3
M70	3
R40A	3
M23A	3
I15B	3
F139	3
F178	3
Y4A	3
S124	3
V5A	3
I106B	3
S20A	3
A13B	3
I3A	3
A603	3
X5A	3
B7A	3
A23H	3
I11	3
R18F	3
D31A	3
U24A	3
D47	3
O42A	3
A299B	3
E176	3
G7E	3
R23	3
E19	3
Z2C	3
V71	3
E101A	3
O23R	3
M13B	3
C235	3
V28B	3
F51A	3
C12L	3
O48B	3
G237	3
S10A	3
A285	3
O164A	3
U97	3
M131A	3
H6B	3
C101	3
A83	3
G7A	3
R10F	3
O195A	3
A361	3
A52J	3
X2B	3
I87	2
N50	2
S78A	2
M16A	2
M26A	2
B19	2
O23L	2
S21A	2
P36	2
M131	2
F15	2
D243	2
G34A	2
V130	2
R1G	2
C2A	2
G24A	2
A47D	2
R49	2
M162	2
E8S	2
A52E	2
W43	2
O21C	2
O255	2
D236	2
O73	2
O46	2
N124A	2
W201	2
W89	2
I10B	2
P23A	2
D96	2
O13B	2
M43B	2
W122	2
G264B	2
O13C	2
A119A	2
F3	2
F40A	2
W15B	2
C408	2
M3B	2
S17S	2
C98D	2
M228	2
A6B	2
X13	2
G298	2
F80	2
C178A	2
X2D	2
Y11	2
O24A	2
A417	2
M5B	2
A4D	2
N44	2
F41C	2
S28A	2
W109	2
D62	2
Q6G	2
R10G	2
P4B	2
Q6I	2
O19	2
T42	2
D517	2
G411	2
T21C	2
A375	2
E201A	2
S6	2
U44B	2
O229	2
N141	2
S14B	2
P5C	2
T21V	2
U91	2
O250	2
K7	2
Y18	2
R36A	2
W62	2
U23E	2
E22	2
S57	2
A45A	2
I6A	2
Q41	2
G33	2
M11D	2
V87	2
O33	2
E35	2
O5U	2
E21E	2
G113	2
T26A	2
P10B	2
E148	2
N115	2
O22C	2
R12A	2
K18	2
V102	2
N83	2
E30	2
B56A	2
R59	2
T89	2
T26F	2
D283	2
B47	2
D199	2
H32	2
E128	2
W125	2
R17A	2
A43E	2
S197	2
M3F	2
O292	2
A301A	2
R20A	2
M152	2
A13E	2
R18A	2
R3P	2
C10C	2
G41A	2
X2A	2
W71	2
M10	2
F174	2
I75	2
S7	2
M111	2
Z37	2
O88	2
S18	2
E29	2
E4	2
